n_sites,deployment_days_per_site,replicate,method,split,covs_rmse,psi_rmse,z_acc,time
100,28,6,NumPyro,train,0.3980017789062773,0.32018963,0.8625,9.79482619697228
100,28,6,NumPyro,test,0.3980017789062773,0.35309565,0.85,9.79482619697228
100,28,7,spOcc,train,0.24873498796317117,0.49741341864975425,0.55,0.22715482115745544
100,28,7,spOcc,test,0.24873498796317117,0.5179270180785623,0.4,0.22715482115745544
100,28,7,Unmarked,train,0.2578392099789625,0.49766605521709023,0.55,0.03759694891050458
100,28,7,Unmarked,test,0.2578392099789625,0.5169767573074016,0.45,0.03759694891050458
100,28,7,NumPyro,train,0.2549854085612339,0.49796283,0.55,9.765695243142545
100,28,7,NumPyro,test,0.2549854085612339,0.52003735,0.4,9.765695243142545
100,28,8,spOcc,train,0.347855550285475,0.41425504951710185,0.7375,0.23705612402409315
100,28,8,spOcc,test,0.347855550285475,0.44749374310138984,0.7,0.23705612402409315
100,28,8,Unmarked,train,0.42029564345802406,0.4140686998541495,0.7375,0.04175308020785451
100,28,8,Unmarked,test,0.42029564345802406,0.4528067458625801,0.7,0.04175308020785451
100,28,8,NumPyro,train,0.3652016417988555,0.41419747,0.75,9.763215493876487
100,28,8,NumPyro,test,0.3652016417988555,0.4498277,0.7,9.763215493876487
100,28,9,spOcc,train,0.3121060686943284,0.398878824211866,0.775,0.20722868712618947
100,28,9,spOcc,test,0.3121060686943284,0.3179635182153886,0.85,0.20722868712618947
100,28,9,Unmarked,train,0.29505827849567295,0.3974742869109437,0.775,0.03403125796467066
100,28,9,Unmarked,test,0.29505827849567295,0.31711483460969797,0.85,0.03403125796467066
100,28,9,NumPyro,train,0.3212434705238007,0.39889002,0.77500004,9.677987417206168
100,28,9,NumPyro,test,0.3212434705238007,0.31695583,0.85,9.677987417206168
100,56,0,spOcc,train,0.34965105165333726,0.4918120734956987,0.6,0.36545084370300174
100,56,0,spOcc,test,0.34965105165333726,0.5102870679221266,0.45,0.36545084370300174
100,56,0,Unmarked,train,0.35646114450288496,0.49176879413574437,0.5875,0.044725910294801
100,56,0,Unmarked,test,0.35646114450288496,0.5105972505593864,0.45,0.044725910294801
100,56,0,NumPyro,train,0.3545952469767132,0.49182865,0.6,10.840944398194551
100,56,0,NumPyro,test,0.3545952469767132,0.509673,0.45000002,10.840944398194551
100,56,1,spOcc,train,0.3684958696467139,0.4426980524106492,0.6875,0.39161909092217684
100,56,1,spOcc,test,0.3684958696467139,0.48037752443605947,0.6,0.39161909092217684
100,56,1,Unmarked,train,0.411600843579234,0.4412532030582933,0.6875,0.05479125306010246
100,56,1,Unmarked,test,0.411600843579234,0.48673816393044794,0.6,0.05479125306010246
100,56,1,NumPyro,train,0.37772167576578325,0.44252923,0.6875,9.688211655244231
100,56,1,NumPyro,test,0.37772167576578325,0.48532498,0.6,9.688211655244231
100,56,2,spOcc,train,0.28621029593283137,0.4463033582832206,0.725,0.47790183080360293
100,56,2,spOcc,test,0.28621029593283137,0.46309446198664045,0.7,0.47790183080360293
100,56,2,Unmarked,train,0.2166448353832192,0.454605608798133,0.6875,0.05358412303030491
100,56,2,Unmarked,test,0.2166448353832192,0.46654732558829937,0.65,0.05358412303030491
100,56,2,NumPyro,train,0.29520811769595323,0.44577563,0.71250004,10.05111223179847
